Crop,Top producer,Exposure,Downside volatility,Top output tonnes,Backfill capacity tonnes,Resilience ratio,CFI,Risk band
Soybeans,Brazil,0.3712121165782751,0.035673131551126384,136077840.0,42473510.956666686,0.3121265810558625,57.65194268195406,High
Rice,"China, mainland",0.2649709841928742,0.021175648833346442,209313666.66666666,60099587.29333331,0.2871269145986644,56.70000272833579,High
Maize,United States of America,0.3104084527283928,0.0503995812808731,372634433.3333333,122851239.65666671,0.3296830047554204,55.69812869849651,High
Sugarcane,Brazil,0.38313339378097544,0.015150217452902128,741155521.3333334,265912110.74999997,0.35878044903669615,52.984143421420754,High
Cassava,Nigeria,0.18284608798486585,0.04878705084129564,60782695.663333334,48203086.599999994,0.7930396319865444,16.37975652044738,Moderate
Wheat,"China, mainland",0.17238637462920253,0.01754265756620896,137085366.66666666,135443701.7866667,0.9880245067732737,0.9159730299881177,Low
Barley,Russian Federation,0.1407805517560614,0.14511053272453356,20629971.533333335,54243291.896666676,2.6293440012276252,0.0,Structurally buffered
Millet,India,0.41191798757739745,0.12293316713939138,12379279.92,14155179.443333331,1.1434574171365317,0.0,Structurally buffered
Potatoes,"China, mainland",0.24596578595799487,0.02219176273582851,93359666.66666667,94614668.61,1.0134426566433041,0.0,Structurally buffered
Sorghum,United States of America,0.1376603953125645,0.19012617674068086,8071983.333333333,28197994.608333334,3.4933167530078317,0.0,Structurally buffered
