Country,Production change tonnes,Land contribution tonnes,Yield contribution tonnes,Land share,Yield share,Growth path
Brazil,680800250.0,574395078.3134674,106405171.6865325,0.8437057394051595,0.15629426059484042,Land-led
India,371684616.78,62273907.66476134,309410709.11523867,0.16754502299357,0.8324549770064301,Yield-led
"China, mainland",307869469.24,110543758.6114622,197325710.62853774,0.359060477430088,0.6409395225699118,Yield-led
United States of America,149963830.0,8595623.587037379,141368206.41296262,0.05731797852213683,0.9426820214778632,Yield-led
Russian Federation,74384289.30000001,25911647.653599285,48472641.64640071,0.34834839315456473,0.6516516068454351,Yield-led
Pakistan,70359602.0,17669774.820702128,52689827.179297864,0.25113522985394554,0.7488647701460543,Yield-led
Thailand,60329258.869999975,20795201.556498025,39534057.313501954,0.3446951271406864,0.6553048728593136,Yield-led
Ukraine,43169150.0,5107899.639071078,38061250.36092892,0.1183229143745262,0.8816770856254739,Yield-led
Nigeria,39933943.46000001,21495311.630458813,18438631.829541195,0.5382716999133751,0.4617283000866249,Mixed
Democratic Republic of the Congo,32687241.67,31582834.50687668,1104407.1631233166,0.9662128981615192,0.0337871018384806,Land-led
Bangladesh,31824844.849999994,5446341.074569253,26378503.77543073,0.17113488220412343,0.8288651177958762,Yield-led
Argentina,27938123.35000001,41555755.03453899,-13617631.684538966,1.4874211311168464,-0.4874211311168458,Land-led
Cambodia,24786519.56,11015613.939593365,13770905.620406637,0.444419552851226,0.5555804471487742,Mixed
Ghana,22735939.65,10594127.278342072,12141812.371657932,0.46596390742715893,0.5340360925728413,Mixed
Ethiopia,21965759.31,10354211.656426914,11611547.653573086,0.4713796372936272,0.5286203627063729,Mixed
Mexico,20920596.08,-10509211.237918343,31429807.317918338,-0.5023380403565606,1.5023380403565605,Yield-led
Viet Nam,18574611.14,-2468565.940527164,21043177.08052717,-0.13290000646157074,1.132900006461571,Yield-led
United Republic of Tanzania,17416730.580000002,16492918.606753929,923811.9732460763,0.9469583588605943,0.05304164113940586,Land-led
Canada,17153885.450000003,-1912568.7896948266,19066454.239694826,-0.11149478613866028,1.1114947861386602,Yield-led
Paraguay,16944414.0,16260286.048442222,684127.9515577751,0.9596251631034406,0.040374836896559255,Land-led
Iran (Islamic Republic of),16158105.809999999,6329605.56969179,9828500.24030821,0.3917294294343893,0.6082705705656108,Yield-led
Indonesia,14984391.439999998,-26324283.348690894,41308674.788690895,-1.756780277270366,2.7567802772703662,Yield-led
Philippines,12818258.61,5187537.260190554,7630721.349809446,0.4046990638918428,0.5953009361081573,Mixed
Myanmar,11670790.339999996,1781197.246446342,9889593.093553647,0.15262010494195397,0.8473798950580455,Yield-led
Bolivia (Plurinational State of),11331572.7,9920460.928050786,1411111.7719492137,0.8754707921567486,0.12452920784325143,Land-led
Angola,10983413.0,10543805.543046141,439607.45695385814,0.9599753321709874,0.040024667829012546,Land-led
Zambia,10022519.69,7780913.915763427,2241605.7742365734,0.7763430910020419,0.22365690899795812,Land-led
Türkiye,9871819.0,-7370073.719728845,17241892.71972884,-0.7465770715335082,1.7465770715335076,Yield-led
Lao People's Democratic Republic,9550803.0,3464923.3030338692,6085879.696966132,0.3627886893943755,0.6372113106056247,Yield-led
Egypt,9147812.0,8840087.81756806,307724.1824319378,0.9663608978374348,0.03363910216256497,Land-led
Peru,9125689.439999998,1376733.9839195118,7748955.456080484,0.15086355863535852,0.8491364413646413,Yield-led
Côte d'Ivoire,8886674.450000001,8682010.393434215,204664.0565657856,0.9769695561914293,0.02303044380857066,Land-led
Guatemala,8711128.18,12015293.597003348,-3304165.4170033503,1.3793039602596397,-0.37930396025964,Land-led
Mali,8227888.79,5823721.941707033,2404166.848292968,0.7078027049642504,0.2921972950357497,Land-led
Romania,8159443.0,-1076427.1286274574,9235870.12862746,-0.1319240944053972,1.1319240944053977,Yield-led
Nepal,7424025.670000002,504225.1045489551,6919800.565451044,0.06791801738866496,0.9320819826113347,Yield-led
Cameroon,7071127.25,8458418.765422367,-1387291.5154223675,1.1961909984610115,-0.19619099846101165,Land-led
Uzbekistan,6659662.550000001,80588.99135519307,6579073.558644807,0.012101062291090568,0.9878989377089094,Yield-led
Kenya,6585861.37,4810190.695677182,1775670.6743228184,0.7303814072960333,0.26961859270396676,Land-led
Guinea,5948866.75,5792063.894002189,156802.85599781215,0.9736415585375465,0.026358441462453693,Land-led
Algeria,5885676.47,3710854.877278804,2174821.592721196,0.6304891028573312,0.3695108971426688,Land-led
Kazakhstan,5737467.93,4442103.076933473,1295364.853066526,0.7742270860821131,0.22577291391788676,Land-led
Bulgaria,5609897.0,663029.8901331421,4946867.109866857,0.1181893161555626,0.8818106838444372,Yield-led
Uganda,5289744.92,8981622.20789581,-3691877.28789581,1.6979310616542564,-0.6979310616542564,Land-led
Mozambique,4850876.0,4218961.51971496,631914.4802850405,0.8697318834196051,0.13026811658039505,Land-led
Malawi,4843475.0,3749184.1550351935,1094290.8449648058,0.7740690630250375,0.22593093697496236,Land-led
Senegal,4795560.15,2166002.8503678157,2629557.299632185,0.45166837295697676,0.5483316270430233,Mixed
Hungary,4456863.0,-1503743.1666693012,5960606.166669302,-0.3373994593662182,1.3373994593662182,Yield-led
Benin,4384694.380000001,5817847.575283302,-1433153.1952833014,1.3268536119234156,-0.32685361192341555,Land-led
Australia,4341278.609999999,-5559062.682222096,9900341.2922221,-1.280512766311973,2.2805127663119737,Yield-led
Niger,4341236.48,1519473.3265849915,2821763.153415009,0.3500093426343343,0.6499906573656657,Yield-led
Afghanistan,4140975.0,-17644.03838429032,4158619.0383842904,-0.004260841561296632,1.0042608415612966,Yield-led
Nicaragua,3835823.7699999996,-971430.1089577465,4807253.878957747,-0.2532520176123072,1.2532520176123074,Yield-led
Madagascar,3723369.370000001,3204845.6469669584,518523.7230330439,0.8607380381836673,0.13926196181633296,Land-led
Iraq,3624211.09,-1062791.866200506,4687002.956200506,-0.293247782705865,1.2932477827058648,Yield-led
Sierra Leone,3566372.5600000005,2762651.369457175,803721.1905428251,0.7746390269044618,0.22536097309553801,Land-led
Morocco,3255154.3600000003,-2365172.698227244,5620327.058227244,-0.72659310025078,1.72659310025078,Yield-led
Burkina Faso,3146009.9600000004,1975723.132062894,1170286.8279371057,0.6280091789864816,0.3719908210135182,Land-led
Uruguay,3064496.0,4917945.64615093,-1853449.6461509296,1.604813857205534,-0.6048138572055338,Land-led
Burundi,3030548.77,2906063.516399139,124485.25360086141,0.9589231973980538,0.041076802601946384,Land-led
Zimbabwe,2566516.91,-299154.71323987906,2865671.623239879,-0.11656058531088308,1.116560585310883,Yield-led
Azerbaijan,2189274.83,1018479.3666482074,1170795.4633517934,0.46521311654974234,0.5347868834502579,Mixed
El Salvador,2165620.62,-605633.5121997882,2771254.1321997885,-0.2796581758626717,1.2796581758626717,Yield-led
Slovakia,1968998.0,-304041.9610117628,2273039.9610117627,-0.1544145606098954,1.1544145606098954,Yield-led
South Africa,1873871.6099999994,-7195899.944056454,9069771.554056458,-3.84012432103417,4.840124321034172,Yield-led
Dominican Republic,1755210.6199999992,1922671.6337151516,-167461.01371515202,1.0954079309952856,-0.0954079309952854,Land-led
Ecuador,1697119.5199999996,-2024578.6282351064,3721698.148235107,-1.1929499392211969,2.1929499392211973,Yield-led
Sri Lanka,1695198.4000000004,1721542.1142211694,-26343.714221168804,1.0155401953076224,-0.015540195307622282,Land-led
Tajikistan,1689435.06,-47988.68005458268,1737423.740054583,-0.02840516406388694,1.0284051640638872,Yield-led
Honduras,1593267.38,-102183.55438382494,1695450.9343838252,-0.06413459264058048,1.0641345926405807,Yield-led
Togo,1592269.94,1750161.7500972296,-157891.81009722987,1.0991614588272827,-0.0991614588272827,Land-led
Syrian Arab Republic,1499115.0,-613302.3046762275,2112417.3046762277,-0.4091095777683683,1.4091095777683684,Yield-led
Lithuania,1483938.35,1359084.80274788,124853.54725211962,0.9158633866075906,0.0841366133924092,Land-led
Belgium,1383970.0,725217.2349486408,658752.7650513592,0.5240122509509894,0.4759877490490106,Mixed
Chad,1319398.25,1041949.1127122783,277449.13728772156,0.7897153969336236,0.21028460306637634,Land-led
Eswatini,1312054.3000000003,1009624.480736987,302429.81926301325,0.769499006814723,0.23050099318527686,Land-led
Republic of Moldova,1147329.7999999998,-78285.64625362786,1225615.4462536278,-0.06823290587730561,1.0682329058773057,Yield-led
Rwanda,1116557.2600000002,1044263.9688719643,72293.29112803616,0.9352533956672889,0.06474660433271119,Land-led
Latvia,1081600.0,1123510.7262249417,-41910.72622494183,1.0387488223233559,-0.038748822323355976,Land-led
Congo,1044189.1800000002,1020851.0677021267,23338.11229787297,0.9776495363628711,0.02235046363712844,Land-led
Haiti,987836.06,-294314.8348391786,1282150.8948391785,-0.2979389463057044,1.2979389463057043,Yield-led
Austria,777561.2800000003,-107855.41940083833,885416.6994008382,-0.1387098640004789,1.1387098640004785,Yield-led
Central African Republic,739328.29,411395.2568005205,327933.03319947957,0.5564446300310252,0.4435553699689749,Mixed
Czechia,673094.0,-1885414.966262351,2558508.9662623527,-2.8011168815386127,3.8011168815386154,Yield-led
Croatia,603195.0800000001,-228460.31034267563,831655.390342676,-0.37875028812018097,1.3787502881201814,Yield-led
Belize,540897.0,1173198.193080959,-632301.1930809589,2.168986319171596,-1.1689863191715963,Land-led
Lebanon,447322.0,257483.86570932542,189838.1342906745,0.5756118986084419,0.42438810139155797,Mixed
Mongolia,430000.13,241492.7532266912,188507.37677330885,0.5616108842262238,0.43838911577377626,Mixed
Turkmenistan,416919.83999999985,120912.37483213587,296007.46516786405,0.2900134827647826,0.7099865172352176,Yield-led
Mauritania,401087.0900000001,150002.18667054677,251084.90332945323,0.3739890672386058,0.626010932761394,Yield-led
Kyrgyzstan,366115.0,91274.56702620778,274840.43297379214,0.24930572914578145,0.7506942708542184,Yield-led
Liberia,339797.58999999997,526845.9051281521,-187048.31512815203,1.5504698109487833,-0.5504698109487829,Land-led
Democratic People's Republic of Korea,274996.27999999933,-274667.73626026383,549664.0162602633,-0.9988052793305586,1.998805279330559,Yield-led
Albania,228386.67999999993,-271126.5739366377,499513.2539366376,-1.1871382951783256,2.1871382951783254,Yield-led
Bosnia and Herzegovina,201403.0,-793730.0026802863,995133.0026802864,-3.9410038712446505,4.941003871244651,Yield-led
Libya,167942.57999999996,-42699.162916350935,210641.74291635092,-0.25424858255929467,1.2542485825592948,Yield-led
Guinea-Bissau,161877.45999999996,94472.42543307385,67405.03456692612,0.583604569981972,0.41639543001802803,Mixed
Oman,158635.35,25582.783006465015,133052.566993535,0.16126785742563063,0.8387321425743695,Yield-led
Israel,141536.84999999998,-46589.30299378781,188126.1529937878,-0.3291673016164187,1.329167301616419,Yield-led
Estonia,139128.0,90217.12512359067,48910.87487640938,0.6484469346471643,0.3515530653528361,Land-led
Eritrea,132766.62,71750.07064285714,61016.549357142845,0.5404225146565993,0.4595774853434007,Mixed
Jordan,131016.59999999998,68014.16805815771,63002.43194184226,0.5191263401596266,0.48087365984037345,Mixed
France,128289.70000000298,-2500666.073721411,2628955.7737214128,-19.49233705996158,20.492337059961567,Yield-led
Armenia,125645.0,-225815.2462183808,351460.24621838087,-1.7972481691940054,2.7972481691940057,Yield-led
Panama,117725.34999999963,-634464.9918615243,752190.3418615243,-5.389365942522374,6.389365942522376,Yield-led
Gabon,115438.2300000001,185159.2771116185,-69721.04711161838,1.6039684349943544,-0.6039684349943543,Land-led
New Zealand,63304.5,-197776.46872630127,261080.96872630133,-3.1242086854220674,4.124208685422069,Yield-led
Botswana,52487.159999999996,-18221.064371827903,70708.2243718279,-0.34715279645208286,1.347152796452083,Yield-led
Slovenia,42838.0,-41070.52138949968,83908.52138949969,-0.9587404031350595,1.9587404031350597,Yield-led
Lesotho,38739.82999999999,-36560.5368315425,75300.36683154253,-0.9437454121905675,1.9437454121905686,Yield-led
Suriname,38551.20999999996,56349.317958690764,-17798.107958690816,1.4616744314559988,-0.4616744314559993,Land-led
Equatorial Guinea,29613.940000000002,16335.28654682608,13278.65345317392,0.5516080111875042,0.4483919888124957,Mixed
Kuwait,23525.899999999994,10733.605384490762,12792.294615509227,0.4562463236046555,0.5437536763953443,Mixed
Comoros,22128.65,22890.45170171037,-761.8017017103823,1.0344260360080877,-0.03442603600808826,Land-led
Namibia,13956.669999999984,13861.557787155014,95.11221284496192,0.9931851786389612,0.006814821361038273,Land-led
Vanuatu,12111.07,2576.408350725422,9534.661649274578,0.21273168685553154,0.7872683131444685,Yield-led
Iceland,5134.0,27395.67890013471,-22261.678900134706,5.336127561381907,-4.336127561381906,Land-led
Brunei Darussalam,1995.4499999999998,2817.750311231394,-822.3003112313936,1.4120876550308923,-0.4120876550308921,Land-led
Bahamas,1918.5299999999988,482.43529153991085,1436.0947084600934,0.2514609057663477,0.7485390942336551,Yield-led
Grenada,1871.8199999999997,1548.2643624781017,323.55563752189784,0.8271438292560727,0.17285617074392723,Land-led
United Arab Emirates,531.7900000000009,-1937.5177139776067,2469.307713977607,-3.6433887699610814,4.6433887699610805,Yield-led
Saint Lucia,296.60000000000014,754.7858030849512,-458.18580308495143,2.5447936718980135,-1.5447936718980149,Land-led
Samoa,175.93,172.5110871794872,3.4189128205128947,0.9805666297930267,0.019433370206973766,Land-led
New Caledonia,126.23000000000047,-4037.764795407092,4163.994795407093,-31.987362714149388,32.98736271414939,Yield-led
Bahrain,89.0,63.33333333333334,25.666666666666664,0.7116104868913858,0.2883895131086142,Land-led
Maldives,82.34,13.93566147586981,68.4043385241302,0.1692453421893346,0.8307546578106655,Yield-led
Seychelles,56.48000000000002,75.73007142857143,-19.250071428571434,1.3408298765681907,-0.340829876568191,Land-led
Faroe Islands,43.88000000000011,-87.03913019339316,130.9191301933931,-1.9835717910982895,2.9835717910982855,Yield-led
Antigua and Barbuda,21.959999999999994,14.515858695652176,7.444141304347833,0.6610136018056548,0.3389863981943459,Land-led
Djibouti,10.049999999999997,24.4575,-14.4075,2.4335820895522393,-1.4335820895522393,Land-led
Niue,6.590000000000003,0.0,6.590000000000001,0.0,0.9999999999999996,Yield-led
Saint Vincent and the Grenadines,-142.52999999999997,-486.04806818181817,343.51806818181825,,,No positive growth
Dominica,-278.7300000000005,-926.8621516860334,648.1321516860329,,,No positive growth
Solomon Islands,-872.9799999999996,2767.832050100239,-3640.8120501002386,,,No positive growth
French Polynesia,-1321.210000000001,-3832.124353288987,2510.914353288986,,,No positive growth
Tonga,-1979.37,-3350.1939015735884,1370.8239015735892,,,No positive growth
Timor-Leste,-2452.1699999999837,6351.345877771092,-8803.515877771039,,,No positive growth
Qatar,-2807.2,-17408.67321982127,14601.473219821273,,,No positive growth
Micronesia (Federated States of),-3001.789999999999,-2475.967851247887,-525.8221487521131,,,No positive growth
Sao Tome and Principe,-5329.09,-3828.6261798240535,-1500.4638201759458,,,No positive growth
Bhutan,-19962.369999999995,-172839.38088860677,152877.01088860675,,,No positive growth
North Macedonia,-20133.859999999986,-246907.23569066855,226773.37569066847,,,No positive growth
Luxembourg,-27435.0,-22647.543723226776,-4787.456276773218,,,No positive growth
