alpha,exposure_weight,exposure_cap,downside_cap,Crop,CFI,Rank
0.5,0.3,0.4,0.15,Soybeans,49.69485458083462,1
0.5,0.3,0.4,0.15,Maize,49.20141443550567,2
0.5,0.3,0.4,0.15,Rice,46.24934991200839,3
0.5,0.3,0.4,0.15,Sugarcane,43.54044454763913,4
0.5,0.3,0.4,0.15,Cassava,14.123052812052935,5
0.5,0.3,0.4,0.15,Wheat,0.7252092340866924,6
0.5,0.3,0.4,0.15,Barley,0.0,7
0.5,0.3,0.4,0.15,Millet,0.0,8
0.5,0.3,0.4,0.15,Potatoes,0.0,9
0.5,0.3,0.4,0.15,Sorghum,0.0,10
0.5,0.3,0.4,0.2,Soybeans,48.26343630790445,1
0.5,0.3,0.4,0.2,Maize,47.230698842168515,2
0.5,0.3,0.4,0.2,Rice,45.36877615505488,3
0.5,0.3,0.4,0.2,Sugarcane,42.973758635763936,4
0.5,0.3,0.4,0.2,Cassava,13.534061962262601,5
0.5,0.3,0.4,0.2,Wheat,0.7129544521030223,6
0.5,0.3,0.4,0.2,Barley,0.0,7
0.5,0.3,0.4,0.2,Millet,0.0,8
0.5,0.3,0.4,0.2,Potatoes,0.0,9
0.5,0.3,0.4,0.2,Sorghum,0.0,10
0.5,0.3,0.4,0.25,Soybeans,47.40458534414635,1
0.5,0.3,0.4,0.25,Maize,46.04826948616623,2
0.5,0.3,0.4,0.25,Rice,44.840431900882784,3
0.5,0.3,0.4,0.25,Sugarcane,42.63374708863882,4
0.5,0.3,0.4,0.25,Cassava,13.1806674523884,5
0.5,0.3,0.4,0.25,Wheat,0.7056015829128204,6
0.5,0.3,0.4,0.25,Barley,0.0,7
0.5,0.3,0.4,0.25,Millet,0.0,8
0.5,0.3,0.4,0.25,Potatoes,0.0,9
0.5,0.3,0.4,0.25,Sorghum,0.0,10
0.5,0.3,0.5,0.15,Soybeans,47.77975247245322,1
0.5,0.3,0.5,0.15,Maize,47.64087397552006,2
0.5,0.3,0.5,0.15,Rice,44.83266978918287,3
0.5,0.3,0.5,0.15,Sugarcane,41.69789987724451,4
0.5,0.3,0.5,0.15,Cassava,13.839238609609172,5
0.5,0.3,0.5,0.15,Wheat,0.7097261451235529,6
0.5,0.3,0.5,0.15,Barley,0.0,7
0.5,0.3,0.5,0.15,Millet,0.0,8
0.5,0.3,0.5,0.15,Potatoes,0.0,9
0.5,0.3,0.5,0.15,Sorghum,0.0,10
0.5,0.3,0.5,0.2,Soybeans,46.348334199523045,1
0.5,0.3,0.5,0.2,Maize,45.6701583821829,2
0.5,0.3,0.5,0.2,Rice,43.95209603222936,3
0.5,0.3,0.5,0.2,Sugarcane,41.131213965369305,4
0.5,0.3,0.5,0.2,Cassava,13.250247759818837,5
0.5,0.3,0.5,0.2,Wheat,0.6974713631398829,6
0.5,0.3,0.5,0.2,Barley,0.0,7
0.5,0.3,0.5,0.2,Millet,0.0,8
0.5,0.3,0.5,0.2,Potatoes,0.0,9
0.5,0.3,0.5,0.2,Sorghum,0.0,10
0.5,0.3,0.5,0.25,Soybeans,45.489483235764936,1
0.5,0.3,0.5,0.25,Maize,44.4877290261806,2
0.5,0.3,0.5,0.25,Rice,43.423751778057266,3
0.5,0.3,0.5,0.25,Sugarcane,40.79120241824418,4
0.5,0.3,0.5,0.25,Cassava,12.896853249944638,5
0.5,0.3,0.5,0.25,Wheat,0.6901184939496811,6
0.5,0.3,0.5,0.25,Barley,0.0,7
0.5,0.3,0.5,0.25,Millet,0.0,8
0.5,0.3,0.5,0.25,Potatoes,0.0,9
0.5,0.3,0.5,0.25,Sorghum,0.0,10
0.5,0.3,0.6,0.15,Maize,46.60051366886299,1
0.5,0.3,0.6,0.15,Soybeans,46.503017733532275,2
0.5,0.3,0.6,0.15,Rice,43.888216373965854,3
0.5,0.3,0.6,0.15,Sugarcane,40.469536763648094,4
0.5,0.3,0.6,0.15,Cassava,13.650029141313327,5
0.5,0.3,0.6,0.15,Wheat,0.6994040858147934,6
0.5,0.3,0.6,0.15,Barley,0.0,7
0.5,0.3,0.6,0.15,Millet,0.0,8
0.5,0.3,0.6,0.15,Potatoes,0.0,9
0.5,0.3,0.6,0.15,Sorghum,0.0,10
0.5,0.3,0.6,0.2,Soybeans,45.071599460602094,1
0.5,0.3,0.6,0.2,Maize,44.62979807552583,2
0.5,0.3,0.6,0.2,Rice,43.00764261701235,3
0.5,0.3,0.6,0.2,Sugarcane,39.90285085177289,4
0.5,0.3,0.6,0.2,Cassava,13.061038291522996,5
0.5,0.3,0.6,0.2,Wheat,0.6871493038311235,6
0.5,0.3,0.6,0.2,Barley,0.0,7
0.5,0.3,0.6,0.2,Millet,0.0,8
0.5,0.3,0.6,0.2,Potatoes,0.0,9
0.5,0.3,0.6,0.2,Sorghum,0.0,10
