Crop,Top producer,Shock,Loss tonnes,Covered tonnes,Gap tonnes,Status
Barley,Russian Federation,0.2,4125994.306666667,4125994.306666667,0.0,covered
Barley,Russian Federation,0.35,7220490.036666667,7220490.036666667,0.0,covered
Barley,Russian Federation,0.5,10314985.766666668,10314985.766666668,0.0,covered
Barley,Russian Federation,1.0,20629971.533333335,20629971.533333335,0.0,covered
Cassava,Nigeria,0.2,12156539.132666668,12156539.132666668,0.0,covered
Cassava,Nigeria,0.35,21273943.482166667,21273943.482166667,0.0,covered
Cassava,Nigeria,0.5,30391347.831666667,30391347.831666667,0.0,covered
Cassava,Nigeria,1.0,60782695.663333334,48203086.599999994,12579609.06333334,GAP
Maize,United States of America,0.2,74526886.66666667,74526886.66666667,0.0,covered
Maize,United States of America,0.35,130422051.66666666,122851239.65666671,7570812.009999946,GAP
Maize,United States of America,0.5,186317216.66666666,122851239.65666671,63465977.009999946,GAP
Maize,United States of America,1.0,372634433.3333333,122851239.65666671,249783193.67666662,GAP
Millet,India,0.2,2475855.984,2475855.984,0.0,covered
Millet,India,0.35,4332747.972,4332747.972,0.0,covered
Millet,India,0.5,6189639.96,6189639.96,0.0,covered
Millet,India,1.0,12379279.92,12379279.92,0.0,covered
Potatoes,"China, mainland",0.2,18671933.333333336,18671933.333333336,0.0,covered
Potatoes,"China, mainland",0.35,32675883.333333332,32675883.333333332,0.0,covered
Potatoes,"China, mainland",0.5,46679833.333333336,46679833.333333336,0.0,covered
Potatoes,"China, mainland",1.0,93359666.66666667,93359666.66666667,0.0,covered
Rice,"China, mainland",0.2,41862733.333333336,41862733.333333336,0.0,covered
Rice,"China, mainland",0.35,73259783.33333333,60099587.29333331,13160196.040000021,GAP
Rice,"China, mainland",0.5,104656833.33333333,60099587.29333331,44557246.04000002,GAP
Rice,"China, mainland",1.0,209313666.66666666,60099587.29333331,149214079.37333333,GAP
Sorghum,United States of America,0.2,1614396.6666666667,1614396.6666666667,0.0,covered
Sorghum,United States of America,0.35,2825194.1666666665,2825194.1666666665,0.0,covered
Sorghum,United States of America,0.5,4035991.6666666665,4035991.6666666665,0.0,covered
Sorghum,United States of America,1.0,8071983.333333333,8071983.333333333,0.0,covered
Soybeans,Brazil,0.2,27215568.0,27215568.0,0.0,covered
Soybeans,Brazil,0.35,47627244.0,42473510.956666686,5153733.043333314,GAP
Soybeans,Brazil,0.5,68038920.0,42473510.956666686,25565409.043333314,GAP
Soybeans,Brazil,1.0,136077840.0,42473510.956666686,93604329.04333332,GAP
Sugarcane,Brazil,0.2,148231104.26666668,148231104.26666668,0.0,covered
Sugarcane,Brazil,0.35,259404432.46666667,259404432.46666667,0.0,covered
Sugarcane,Brazil,0.5,370577760.6666667,265912110.74999997,104665649.91666672,GAP
Sugarcane,Brazil,1.0,741155521.3333334,265912110.74999997,475243410.5833334,GAP
Wheat,"China, mainland",0.2,27417073.333333332,27417073.333333332,0.0,covered
Wheat,"China, mainland",0.35,47979878.33333333,47979878.33333333,0.0,covered
Wheat,"China, mainland",0.5,68542683.33333333,68542683.33333333,0.0,covered
Wheat,"China, mainland",1.0,137085366.66666666,135443701.7866667,1641664.8799999654,GAP
